OBJECTID,ZONECLASS,ZONEDESC,LASTUPDATE,LASTEDITOR,SUFFIX,OVERLAY_H,OVERLAY_SD,OVERLAY_OT,PRECPLAN,ZONELABEL,BASEELEV,HEIGHT,PRECISEPLA,ShapeSTAre,ShapeSTLen,Zoning
342,CRA,CRA,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CRA,NA,NA,NA,55186.3388672,952.5147541460544,NA
343,MM,MM,2016-12-05,Eric Anderson - CDD,40,NA,NA,NA,NA,MM-40,NA,NA,NA,24528.8085938,636.758498012593,NA
346,CRA,CRA,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CRA,NA,NA,NA,16891.1044922,601.837310477426,NA
347,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,P,NA,NA,NA,172887.422852,2047.65724541,2
348,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,60450.0361328,1006.44622358,2
360,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(30),P(30),NA,NA,Sylvan - Dale,22238.4980469,600.3780335203387,2
361,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,P,NA,NA,NA,425738.041992,3125.77970633,NA
362,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(38),P(38),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29701'>El Camino Real</a>,8504565.29004,40024.471611,NA
363,MM,MM,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,MM,NA,NA,NA,76707.2216797,1549.02641727,NA
366,ML,ML,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,ML,NA,NA,NA,2904012.96973,9045.53869009,NA
367,ML,ML,2016-12-05,Eric Anderson - CDD,NA,NA,sd,NA,NA,MLsd,NA,NA,NA,113925.788086,1889.09031931,NA
369,ML,ML,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,ML,NA,NA,NA,436165.288086,2846.32426909,NA
371,ML,ML,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,ML,NA,NA,NA,703793.375977,3945.13887689,NA
373,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,P,NA,NA,NA,142672.421875,1715.46959273,NA
