FID_1,BaseZone,LotSizeZon,dZone,srZone,nZone,hZone,bwZone,psZone,smZone,GlobalID,SHAPE_Leng,SHAPE_Area,Tot_zone,Zoning
1603,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{DC3D2E22-0B8E-4DCC-9D59-BF50355F5673},0.005973238102965,1.609995548e-6,A-20Ac-d1,0
1604,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{0454B3FB-ABCD-4C65-A78F-8E931D399995},0.00606372584683,1.94542916e-6,A-20Ac-d1,0
1608,HS,NA,NA,NA,NA,NA,NA,NA,NA,{C3E0DEF9-0E9E-47AA-B986-6B0D5DAB5752},0.014142884739505,1.0301781716e-5,HS,0
1619,AR,NA,NA,-sr,NA,NA,NA,NA,NA,{BE901FCF-7AC5-41A8-8FCC-C47691A18BAE},0.354790140946262,0.001863054572009,AR-sr,0
1620,AR,NA,NA,-sr,NA,NA,NA,NA,NA,{5E7C86F6-2034-4B70-AFB7-5CD2CE94F120},0.497159347216658,0.003899707045029,AR-sr,0
1621,AR,NA,NA,-sr,NA,NA,NA,NA,NA,{42CBA407-FC4A-482F-A376-1B2AD4F4ADAF},0.704694319309998,0.004622901872711,AR-sr,0
1622,RS,NA,NA,-sr,NA,NA,NA,NA,NA,{41D2B8EB-4E68-4496-A5E6-52A867F5FC77},0.032467567498105,3.2657136587e-5,RS-sr,0
1623,HS,NA,NA,-sr,NA,NA,NA,NA,NA,{13455D18-530B-40CA-AA02-367BF07CA2D9},0.145452261011271,3.4107565027e-4,HS-sr,0
1626,RR,NA,NA,NA,NA,NA,NA,NA,NA,{CC3D4CE8-66FD-4768-B80C-7619B4715690},0.032796319616335,1.5200676375e-5,RR,1
1627,HS,NA,NA,-sr,NA,NA,NA,NA,NA,{81797BB7-85DA-43A1-B890-7E07DF96BA7D},0.049194234247375,1.8158647987e-5,HS-sr,0
1630,HS,NA,NA,-sr,NA,NA,NA,NA,NA,{9E2E416C-5BB8-451E-B7EC-2A96419C4405},0.552070556878023,0.00124171301779,HS-sr,0
1631,AR,NA,NA,-sr,NA,NA,NA,NA,NA,{33D15D5C-FA6A-47F1-A665-9859C5AEE48C},1.558804559334291,0.010120923097608,AR-sr,0
1632,A,-20Ac,NA,-sr,NA,NA,NA,NA,NA,{5FD0A01A-D154-47BE-949E-325E5E8ADEBA},0.033241395719406,3.2269597328e-5,A-20Ac-sr,0
1633,A,-20Ac,NA,-sr,NA,NA,NA,NA,NA,{8AF1FCB7-99E6-4D1A-BF17-248A9194A449},0.052575709242428,4.7049161633e-5,A-20Ac-sr,0
1634,A,-20Ac,NA,-sr,NA,NA,NA,NA,NA,{3CCBC4FB-9C39-42E2-A917-911B5247A0AF},0.1603099597113,1.87566929852e-4,A-20Ac-sr,0
1635,A,-20Ac,NA,-sr,NA,NA,NA,NA,NA,{EC44FA12-7925-4A5D-AE67-217F1639A1D0},0.181910460620534,3.45626245008e-4,A-20Ac-sr,0
1642,HS,NA,NA,-sr,NA,NA,NA,NA,NA,{F6596275-1C54-47F4-A5E4-E2B83CA1CBAE},0.062866738603026,1.13227279266e-4,HS-sr,0
