general_pl,id,Zoning
R-4H,969,2
R-2,970,2
R-4,971,2
C-W,972,NA
R-2,973,2
R-4,974,2
R-4,975,2
C-W,976,NA
R-1A,977,2
C-1,978,NA
R-2,979,2
MUR,980,NA
R-4,981,2
C-T,982,NA
R-2AH,983,2
R-1A,984,2
C-T,985,NA
C-1,986,NA
C-2,987,NA
R-2,988,2
R-4H,989,2
R-2,990,2
MULI,991,NA
R-1A,992,2
C-W,993,NA
R-4H,994,2
C-T,995,NA
R-4,996,2
C-2,997,NA
R-4,998,2
MULI,999,NA
R-1A,1000,2
R-4,1001,2
R-4H,1002,2
R-4,1003,2
MUR,1004,NA
R-1A,1005,2
R-4,1006,2
R-2,1007,2
R-4,1008,2
R-2,1009,2
R-2H,1010,2
R-2,1011,2
R-4,1012,2
R-2,1013,2
C-1,1014,NA
R-2,1015,2
R-2,1016,2
R-3,1017,2
R-2A,1018,2
R-3,1019,2
R-2A,1020,2
R-2,1021,2
R-4,1022,2
R-2,1023,2
R-4,1024,2
R-2,1025,2
R-4,1026,2
C-W,1027,NA
C-T,1028,NA
C-SA,1029,NA
C-T,1030,NA
C-W,1031,NA
R-4,1032,2
R-1A,1033,2
C-SA,1034,NA
R-2,1035,2
R-4,1036,2
R-3,1037,2
R-3,1038,2
R-1A,1039,2
R-4,1040,2
R-2,1041,2
R-3,1042,2
R-4,1043,2
R-2,1044,2
R-2A,1045,2
R-4,1046,2
R-2,1047,2
R-2A,1048,2
R-2,1049,2
R-1A,1050,2
R-2,1051,2
R-2,1052,2
R-1A,1053,2
R-2,1054,2
C-W,1055,NA
R-2A,1056,2
C-SA,1057,NA
C-T,1058,NA
C-N,1059,NA
R-2A,1060,2
R-2,1061,2
C-N,1062,NA
R-2A,1063,2
C-SA,1064,NA
R-2A,1065,2
MUR,1066,NA
R-2A,1067,2
R-2,1068,2
R-2A,1069,2
R-2,1070,2
R-2A,1071,2
R-2A,1072,2
R-2,1073,2
R-2,1074,2
R-2,1075,2
R-3,1076,2
R-2,1077,2
MUR,1078,NA
R-2A,1079,2
MULI,1080,NA
R-2,1081,2
R-2A,1082,2
R-2,1083,2
R-2,1084,2
