Name,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,snippet,Zoning
OS,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-94-1,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-95-2,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
OS,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-8,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
OS,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
OS,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
OS,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-73-1,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
OS,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
OS,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
OS,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
