OBJECTID,BASEZONING,DISTRICT,DENSITY,Shape_Leng,Shape_Area,Zoning
326,AR B6 2,AR,2,572.988504799,14324.4411594,NA
327,AR B6 2,AR,2,943.670506077,26419.457987,NA
328,AR B6 2,AR,2,852.497989155,35060.6279492,NA
329,AR B6 2,AR,2,4090.23480503,478747.915765,NA
330,AR B6 2,AR,2,1077.39644247,52737.5512449,NA
331,AR B6 2,AR,2,759.556806491,35343.8071031,NA
332,AR B6 2,AR,2,831.911192063,44691.4930236,NA
333,AR B6 2,AR,2,443.97883627,6204.4299422,NA
334,AR B6 2,AR,2,4762.48274138,962794.237246,NA
335,AR B6 2,AR,2,1515.28052602,62702.1108376,NA
336,AR B6 2,AR,2,551.531005789,13611.7450545,NA
337,AR B6 2,AR,2,502.44663623,6352.98464147,NA
338,AR B6 2,AR,2,531.78230161,16253.3971516,NA
339,AR B6 2,AR,2,10910.792765,612279.287661,NA
340,AR B6 2,AR,2,294.159180955,4402.3710476,NA
341,AR B6 2,AR,2,1603.50678174,52522.7531881,NA
342,AR B6 2,AR,2,6038.14199714,366353.154203,NA
343,AR B6 2,AR,2,715.492470198,31658.2615459,NA
344,AR B6 2,AR,2,787.468660085,30440.7875423,NA
345,AR B6 2,AR,2,1084.45184687,34637.74701,NA
346,AR B6 2,AR,2,486.985863426,14799.3152545,NA
347,AR B6 2,AR,2,1485.77649792,62106.8455533,NA
348,AR B6 2,AR,2,640.655432805,22602.3001383,NA
349,AR B6 2,AR,2,636.220351991,22110.7809061,NA
350,AR B6 2,AR,2,957.4925382,37702.1301459,NA
351,AR B6 2,AR,2,689.747841875,21545.6370613,NA
352,AR B6 2,AR,2,1354.66473577,91399.3509381,NA
353,AR B6 2,AR,2,835.44274165,36666.0151464,NA
354,AR B6 2,AR,2,204.645493516,1474.2848606,NA
355,AR B6 2,AR,2,1322.83599084,71274.7751111,NA
356,AR B6 2,AR,2,1131.02441163,59647.8291394,NA
357,AR B6 2,AR,2,772.235721303,27161.3890364,NA
358,AR B6 2,AR,2,1014.06887301,48801.2055486,NA
359,AR B6 2,AR,2,1303.49266823,75691.9408164,NA
360,AR B6 2,AR,2,865.087369829,25380.9548558,NA
361,AR B6 2,AR,2,574.017397248,14535.5470662,NA
362,AR B6 2,AR,2,1046.44588143,41388.8445469,NA
363,AR B6 2,AR,2,1614.04570963,92126.7355778,NA
364,AR B6 2,AR,2,1912.03674172,110857.323047,NA
365,AR B6 2,AR,2,3911.31641643,248184.171904,NA
366,AR B6 2,AR,2,3152.57115307,261168.00369,NA
367,AR B6 2,AR,2,2976.11741129,112828.844098,NA
368,AR B6 2,AR,2,2850.12016326,26424.4775623,NA
369,AR B6 2,AR,2,507.424285661,9351.56491981,NA
370,AR B6 2,AR,2,1357.69016536,91332.6442048,NA
371,AR B6 2,AR,2,2524.6078257,208596.360509,NA
372,AR B6 2 Z,AR,2,2033.95288977,212843.408627,NA
373,AR B6 2 Z,AR,2,1975.82683963,191469.696776,NA
374,AR B6 2.5,AR,2.5,3297.66190797,477825.100933,NA
375,AR B6 2.5,AR,2.5,1065.8990567,70550.7361116,NA
376,AR B6 2.5,AR,2.5,2626.26635249,422309.186856,NA
377,AR B6 2.5,AR,2.5,7809.91141974,2927706.28195,NA
378,AR B6 2.5,AR,2.5,1941.72546097,163496.320888,NA
379,AR B6 2.5,AR,2.5,5479.25106626,1257851.08616,NA
380,AR B6 2.5,AR,2.5,13941.8585471,4279966.07569,NA
381,AR B6 2.5,AR,2.5,8111.56161758,2778126.70547,NA
382,AR B6 2.5,AR,2.5,2844.57370892,436235.483149,NA
383,AR B6 2.5,AR,2.5,13314.3195295,4195150.58418,NA
384,AR B6 2.5,AR,2.5,7890.32384278,2461694.79162,NA
385,AR B6 2.5,AR,2.5,3204.89272483,576499.763621,NA
386,AR B6 2.5,AR,2.5,1362.80128177,111209.190566,NA
387,AR B6 2.5,AR,2.5,5914.65014999,1346224.36597,NA
388,AR B6 2.5,AR,2.5,872.581315896,34163.1083763,NA
389,AR B6 2.5,AR,2.5,8661.53702641,4257460.33391,NA
390,AR B6 2/1 (Ac/DU)/Ac MIN,AR,2/1 (Ac/DU)/Ac MIN,2101.76645117,203441.88684,NA
391,AR B6 20,AR,20,1849.3852537,137891.391004,NA
392,AR B6 20,AR,20,13196.0276167,4639951.51153,NA
393,AR B6 20,AR,20,886.370943786,29664.8559704,NA
394,AR B6 20,AR,20,168.788498866,1531.86173429,NA
395,AR B6 20,AR,20,1160.45723631,31906.5238539,NA
396,AR B6 20,AR,20,971.840814623,45858.1150873,NA
397,AR B6 20,AR,20,573.467113299,16100.8405736,NA
398,AR B6 20,AR,20,474.978330516,12078.0475481,NA
399,AR B6 20,AR,20,956.826969916,39868.4838588,NA
400,AR B6 20,AR,20,425.92123193,11716.3290859,NA
401,AR B6 20,AR,20,824.889612401,29689.6606649,NA
402,AR B6 20,AR,20,905.74463782,39393.5559175,NA
403,AR B6 20,AR,20,388.934132924,3699.70625353,NA
404,AR B6 20,AR,20,859.393488479,36598.692155,NA
405,AR B6 20,AR,20,1002.01263756,45349.9660589,NA
406,AR B6 20,AR,20,985.422418705,36971.1031955,NA
407,AR B6 20,AR,20,773.464000501,21534.1178475,NA
408,AR B6 20,AR,20,955.809788496,41657.5503196,NA
409,AR B6 20,AR,20,1184.42063459,60604.5265712,NA
410,AR B6 20,AR,20,357.313644603,2940.14393658,NA
411,AR B6 20,AR,20,1717.39762098,155853.568897,NA
412,AR B6 20,AR,20,689.23602053,22217.7233799,NA
413,AR B6 20,AR,20,9904.75308722,1212673.9495,NA
414,AR B6 20,AR,20,2225.61979837,266648.586478,NA
415,AR B6 20,AR,20,2157.83086574,201528.704108,NA
416,AR B6 20,AR,20,1426.90501794,109767.370923,NA
417,AR B6 20,AR,20,1572.61860007,122976.702353,NA
418,AR B6 20,AR,20,19687.7138058,8482138.63688,NA
419,AR B6 20,AR,20,11085.6535139,1630614.77158,NA
420,AR B6 20,AR,20,5169.17242575,1502789.46132,NA
421,AR B6 20,AR,20,24530.0246915,14452390.1742,NA
422,AR B6 20,AR,20,4641.60260177,698565.085753,NA
423,AR B6 20,AR,20,7839.20054579,2420607.67272,NA
424,AR B6 20,AR,20,873.944972245,30770.5403456,NA
425,AR B6 20,AR,20,984.434738855,27906.0546858,NA
426,AR B6 20,AR,20,1711.54861516,86244.9976775,NA
427,AR B6 20,AR,20,14160.7215961,2058231.09479,NA
428,AR B6 20,AR,20,5388.95237957,1805744.56929,NA
429,AR B6 20,AR,20,16425.7151533,8093309.08347,NA
430,AR B6 20,AR,20,24240.3609884,18272270.7903,NA
431,AR B6 20,AR,20,1230.60205286,51892.1494288,NA
432,AR B6 20,AR,20,7482.55760749,744183.003082,NA
433,AR B6 20,AR,20,2781.19110219,271525.216337,NA
434,AR B6 20,AR,20,964.956080985,57455.1985029,NA
435,AR B6 20,AR,20,1712.93906551,177689.489495,NA
436,AR B6 20,AR,20,2031.32954112,243263.581003,NA
437,AR B6 20,AR,20,844.862231711,45707.3725785,NA
438,AR B6 20,AR,20,6152.85257974,1104654.72223,NA
439,AR B6 20 Z,AR,20,17738.3353684,11835708.0392,NA
