ZN_ID,GP_DESG,FILENUM,OTHER,ACRES,CHANGED,LABCLAS,ZNPROP,ZNEX,ZNEXUPD,T_GP,LABEL_F,ZNPROPD,T_hndlb,Cannabs,gnrl_p_,id,edt_g__,zoning
47,NA,NA,NA,0.266,N,Use  leader,R-10,R-2,R-10,NA,NA,Medium Density Residential District,Yes,0,Medium Density Residential District,36,Medium Density Residential District,2
51,NA,NA,NA,0.117,Y,Use  leader,R-20,R-3,R-15,RIVERTWN,NA,Medium High and High Density Residential District,Yes,0,Medium High and High Density Residential District,37,Medium High and High Density Residential District,2
52,NA,NA,NA,2.382,N,Medium,R-10,R-2,R-10,RIVERTWN,NA,Medium Density Residential District,No,0,Medium Density Residential District,38,Medium Density Residential District,2
56,NA,NA,NA,4.668,N,Medium,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,39,Convenience Commercial District,0
60,NA,NA,NA,0.205,N,Use  leader,C-O,C-O,C-O,RIVERTWN,NA,Professional Office District,Yes,0,Professional Office District,40,Professional Office District,0
62,NA,NA,NA,0.47,Y,Very small,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,41,Medium High and High Density Residential District,2
64,NA,04-05,NA,51.449,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,42,Planned Development District_NonRes,0
65,NA,04-06,(C-O),14.479,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,43,Planned Development District_NonRes,0
66,NA,88-7.1,NA,82.549,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,44,Planned Development District_SF,1
67,MDR,NA,NA,0.224,N,Use  leader,M-1,M-1,M-1,RIVERTWN,NA,Light Industrial District,Yes,0,Light Industrial District,45,Light Industrial District,0
70,NA,NA,NA,0.439,NA,Very small,C-2,C-2,C-2,Neighborhood/Com,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,46,Neighborhood/Community Commercial District,0
71,NA,NA,NA,0.438,N,Very small,C-1,C-1,C-1,RIVERTWN,NA,Convenience Commercial District,No,0,Convenience Commercial District,47,Convenience Commercial District,0
77,NA,NA,NA,10.091,N,Large,P-D/S-H,P-D/S-H,P-D/S-H,NA,NA,Planned Development/Senior Housing Overlay District,No,0,Planned Development/Senior Housing Overlay Distric,48,Planned Development/Senior Housing Overlay Distric,2
79,NA,NA,NA,4.284,N,Medium,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,49,Professional Office District,0
80,Commercial Office,NA,NA,1.195,N,Small,M-1,M-1,M-1,NA,NA,Light Industrial District,No,0,Light Industrial District,50,Light Industrial District,0
81,NA,NA,NA,0.834,Y,Small,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,51,Medium High and High Density Residential District,2
84,NA,NA,NA,1.204,Y,Small,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,52,Medium High and High Density Residential District,2
86,NA,NA,NA,9.487,Y,Medium,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,53,Medium High and High Density Residential District,2
88,NA,NA,NA,0.114,Y,Use  leader,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,Yes,0,Medium High and High Density Residential District,54,Medium High and High Density Residential District,2
89,Commercial Office,NA,NA,38.409,N,Medium,C-2,C-3,C-3,NA,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,55,Neighborhood/Community Commercial District,0
93,NA,NA,NA,0.744,Y,Small,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,56,Medium High and High Density Residential District,2
94,NA,NA,NA,0.626,N,Small,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,57,Professional Office District,0
95,CO,NA,NA,4.594,N,Medium,C-3,C-3,C-3,NA,NA,Service/Regional Commercial District,No,0,Service/Regional Commercial District,58,Service/Regional Commercial District,0
96,NA,NA,NA,0.301,N,Very small,R-10,R-2,R-10,NA,NA,Medium Density Residential District,No,0,Medium Density Residential District,59,Medium Density Residential District,2
97,NA,NA,NA,0.204,N,Use  leader,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,Yes,0,Medium High and High Density Residential District,60,Medium High and High Density Residential District,2
98,CN,NA,NA,0.306,N,Very small,C-3,C-3/B-4,C-3/B-4,NA,NA,Service/Regional Commercial District,No,0,Service/Regional Commercial District,61,Service/Regional Commercial District,0
100,NA,NA,NA,0.64,N,Small,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,62,Medium High and High Density Residential District,2
101,NA,NA,NA,0.224,N,Use  leader,C-2,C-2,C-2,NA,NA,Neighborhood/Community Commercial District,Yes,0,Neighborhood/Community Commercial District,63,Neighborhood/Community Commercial District,0
103,NA,NA,NA,0.521,N,Small,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,64,Convenience Commercial District,0
105,NA,NA,NA,0.569,N,Small,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,65,Convenience Commercial District,0
106,NA,NA,NA,0.233,N,Use  leader,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,Yes,0,Medium High and High Density Residential District,66,Medium High and High Density Residential District,2
107,NA,NA,NA,1.14,N,Small,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,67,Medium High and High Density Residential District,2
108,NA,NA,NA,4.798,N,Medium,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,68,Convenience Commercial District,0
109,NA,NA,NA,3.611,Y,Medium,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,69,Medium High and High Density Residential District,2
110,NA,NA,NA,1.152,N,Small,C-2,C-2,C-2,NA,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,70,Neighborhood/Community Commercial District,0
111,NA,NA,NA,0.202,N,Use  leader,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,Yes,0,Medium High and High Density Residential District,71,Medium High and High Density Residential District,2
113,NA,NA,NA,1.5,N,Small,C-2,C-2,C-2,NA,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,72,Neighborhood/Community Commercial District,0
115,NA,NA,NA,1.43,N,Small,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,73,Convenience Commercial District,0
116,NA,NA,NA,6.742,N,Medium,C-2,C-2,C-2,NA,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,74,Neighborhood/Community Commercial District,0
117,NA,NA,NA,0.32,N,Very small,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,75,Professional Office District,0
118,NA,NA,NA,0.596,N,Small,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,76,Professional Office District,0
119,NA,NA,NA,1.791,N,Medium,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,77,Professional Office District,0
120,NA,NA,NA,4.8,N,Medium,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,78,Convenience Commercial District,0
122,NA,NA,NA,0.658,Y,Small,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,79,Medium High and High Density Residential District,2
124,NA,NA,NA,1.719,N,Medium,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,80,Convenience Commercial District,0
125,NA,NA,NA,4.145,Y,Medium,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,81,Medium High and High Density Residential District,2
126,NA,NA,NA,2.164,Y,Medium,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,82,Medium High and High Density Residential District,2
