gnrl_p_,id,edt_g__,zoning
701 - Low density residential (less than 6 units/Gr. acre),376,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),377,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),378,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),379,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),380,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),381,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),382,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),383,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),384,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),385,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),386,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),387,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),388,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),389,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),390,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),391,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),392,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),393,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),394,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),395,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),396,701 - Low density residential (less than 6 units/Gr. acre),1
