Entity,Layer,Color,Linetyp,Elevatn,LineWt,RefName,Symblgy,Red,Green,Blue,Shp_STA,Shp_STL,gnrl_p_,id,edt_g__,zoning
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,377311.088867,3553.45075039,SP_SF,336,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,171154.177734,2134.68543333,SP_SF,337,SP_SF,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,890688.666016,8548.14593614,RS-10,338,RS-10,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,250173.338867,3540.64420127,SP_NonRes,339,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,2374533.35547,11872.1575095,SP_NonRes,340,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,697649.356445,3412.99784026,SP_NonRes,343,SP_NonRes,0
LWPolyline,ZM-RS-7,7,Continuous,0,25,NA,RS-7,255,234,128,1154923.96484,4911.74126154,RS-7,344,RS-7,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,903781.651367,4181.67217345,SP_NonRes,345,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,3872357.58594,9404.17285362,SP_NonRes,346,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,115694.407227,1409.09521642,SP_SF,347,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,380851.53125,3583.71852264,SP_SF,348,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,730586.924805,3934.65658629,SP_SF,349,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,749157.492188,3637.98111797,SP_SF,350,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,47842.890625,1877.11532293,SP_NonRes,351,SP_NonRes,0
